M_number,name,ra,dec,type,distance_ly,apparent_magnitude,x,y,z,display_name,description
M110,M 110,10.09190514583,41.68541867226,GiG,2.4787856,8.069999694824219,1.8225340752693904,0.32437711014575443,1.6484923674869707,M 110,Deep sky object
M110,M 110,10.09190514583,41.68541867226,GiG,2.6418636,8.069999694824219,1.9424376328529032,0.34571770949744884,1.7569458127163766,M 110,Deep sky object
M110,M 110,10.09190514583,41.68541867226,GiG,13.4050116,8.069999694824219,9.856072433364728,1.7541972667092771,8.914873197857169,M 110,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,35.87716,9.25,-33.3386206836654,11.03176275332193,7.348958506529829,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,32.289444,9.25,-30.004758615298854,9.928586477989734,6.614062655876846,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,32.9091404,9.25,-30.580607518016706,10.119135107365294,6.740999211898724,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,34.311611199999994,9.25,-31.883844508378168,10.550376742267877,7.028276680790344,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,31.7349788,9.25,-29.489525386551296,9.758095599074759,6.5004878425941115,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,33.8549928,9.25,-31.45953479058607,10.409972489043781,6.934744481616328,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,33.9854552,9.25,-31.580766138526666,10.45008798996495,6.9614679670946185,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,33.9854552,9.25,-31.580766138526666,10.45008798996495,6.9614679670946185,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,34.8008452,9.25,-32.338462063155426,10.700809870722267,7.128489751333933,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,37.50794,9.25,-34.85401253292291,11.53320651483656,7.683002075008456,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,34.311611199999994,9.25,-31.883844508378168,10.550376742267877,7.028276680790344,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,32.941756,9.25,-30.610915355001854,10.129163982595585,6.747680083268296,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,34.1485332,9.25,-31.732305323452426,10.500232366116418,6.994872323942483,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,39.13872,9.25,-36.36940438218043,12.034650276351194,8.017045643487085,M  96,Deep sky object
M 96,M  96,161.6906,11.819938888888888,GiP,45.66184,9.25,-42.4309717792105,14.040425322409725,9.3532199174016,M  96,Deep sky object
