source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,logg_gspphot,mh_gspphot,x,y,z,gaia_id,star_names,simbad_names,main_id,object_type,has_common_name,display_name,star_type,distance_ly
323386882492982144,21.871101210850217,38.968113285754754,1.448878118737993,-0.05121677312152,-3.140791440702551,-18.835535,13.509504,13.814512,13.02158,1.5133419,5744.211,4.3185,-0.4023,1624.2431921807643,651.9901455969103,1415.685166237042,3.2338688249298214e+17,TOI-3630,TOI-3630|Gaia DR3 323386882492982144|TIC 189380158|Gaia DR2 323386882492982144|HAT-P-53|2MASS J01272906+3858053|GSC 02813-01266,HAT-P-53,*,True,TOI-3630,G-type,2251.093420363678
325494788018024576,32.41739676487536,32.3164554232153,2.045034322738423,2.3060739049650483,4.934666606076375,25.649982,7.025605,7.8236356,6.154105,0.99387044,,,,1137.7965049617567,722.5523174276493,852.6086504840272,3.254947880180246e+17,TIC 63564248,TIC 63564248|WISE J020940.16+321859.6|2MASS J02094015+3218591|UCAC4 612-006094|HIP 10085|Gaia DR3 325494788018024576|AG+32  193|AGKR  1885|BD+31   370|DO  9078|GSC 02313-00437|HD  13189|HIC  10085|IRAS 02067+3204|PPM  67016|SAO  55309|SKY#  3174|TYC 2313-437-1|Gaia DR2 325494788018024576|Gaia DR1 325494783722225408,HD  13189,*,True,TIC 63564248,Unknown,1594.8680976818896
343449606741529728,27.162822304521388,37.95275035937315,8.604923283543057,112.4974119056324,-26.974570825252204,34.936577,5.6775155,6.1679525,5.016752,0.91184205,4892.011,2.5662,-0.278,265.9132153649761,136.44278538026504,233.1103477563278,3.434496067415297e+17,HD  10975b,HD  10975b,HD  10975b,Pl,True,HD  10975b,K-type,379.0341752654255
353030751066772480,32.94710393641228,45.92421765867808,18.74158592713592,278.03681798471143,-7.081009454494748,-6.719056,9.419496,9.87306,8.802649,0.9283825,4971.86,4.5033,-0.1173,101.58646924421954,65.83776639612906,125.02523455069604,3.530307510667725e+17,BD+45   564b,BD+45   564b,BD+45   564b,Pl,True,BD+45   564b,K-type,174.02796181072333
363012289421389056,14.48696630960284,34.9853241664285,4.6211161220925785,120.17940534620118,-45.94066976960466,12.071208,7.3221335,7.8116455,6.664321,0.96529746,,,,559.8710473861108,144.6566276762638,404.67919739533613,3.6301228942138906e+17,TIC 53848538,Gaia DR3 363012289421389056|TIC 53848538|2MASS J00575670+3459080|AG+34   71|BD+34   154|GSC 02285-00548|HD   5583|PPM  65804|SAO  54296|TYC 2285-548-1|Gaia DR2 363012289421389056|Gaia DR1 363012285125644288,HD   5583,PM*,True,TIC 53848538,Unknown,705.7948586072467
382111248777193216,7.053937598100488,42.06134414126365,2.6863013751467752,0.8661032896772272,-6.773218428243758,-9.334558,12.511989,12.887348,11.975026,0.94143426,5548.5527,4.3076,0.1474,894.5925762762245,110.69711149710244,813.3873066543076,3.821112487771932e+17,TOI-1463.01,TOI-1463.01|TOI-1463b|Qatar 5b,Qatar 5b,Pl,True,TOI-1463.01,G-type,1214.145229636341
439327810962983424,45.582575680475415,49.74414153557782,2.052781583996964,19.28857476881582,-4.476747629253742,19.000668,9.46949,10.143768,8.675311,1.0207417,4986.678,2.7365,0.1234,718.5796038682626,733.3430645390922,1212.5561836699083,4.393278109629834e+17,TYC 3318-01333-1b,NAME TYC 3318-01333-1b|BD+49   827b,BD+49   827b,Pl,True,TYC 3318-01333-1b,K-type,1588.8490160991348
457317534880081152,38.36916388723121,56.02570797156832,1.4780516435938256,-3.371221912518547,0.0009168117345027,-8.473836,12.21276,12.461465,11.815224,0.95150846,,,,966.8069246778068,765.4348904669725,1829.958960962573,4.5731753488008115e+17,UCAC4 731-024744,UCAC4 731-024744|GPX-TF8A-1859|1SWASP J023328.42+560133.4|TIC 245392284|Gaia DR3 457317534880081152|GPX-1|2MASS J02332859+5601325,UCAC4 731-024744,EB*,True,UCAC4 731-024744,Unknown,2206.6617321094695
473934011733049856,60.42470678480174,60.89136061012333,5.846614044616531,41.02332916951367,-51.29882062405163,,15.638797,17.00041,14.489408,1.0015675,3484.4924,4.5854,-0.3771,133.94313391284274,236.0194707210579,487.39685899802987,4.7393401173304986e+17,TOI-6383 A b,TOI-6383.01|TOI-6383b|NAME TOI-6383 A b,TOI-6383b,Pl,True,TOI-6383 A b,M-type,557.854507773297
474143193821024256,56.336991465871,60.350916350598176,12.701440179360246,-55.03818411066203,-4.836547438541272,-14.597976,7.891202,8.164307,7.4497914,1.003099,5981.1396,4.1137,-0.3511,70.41302786913049,105.7276934555989,223.16593129067917,4.7414319382102426e+17,TOI-6054,TOI-6054|HIP 17540|Gaia DR3 474143193821024256|TIC 392681545|2MASS J03452100+6021033|[ZZ2002] 184|AG+60  379|BD+59   708|GSC 04063-00858|HD  23074|HIC  17540|PPM  14468|SAO  12889|TYC 4063-858-1|YZ  60  3168|[ZZK96] 125|uvby98 100023074|Gaia DR1 474143189520977792|GEN# +1.00023074|Gaia DR2 474143193821024256,HD  23074,PM*,True,TOI-6054,G-type,256.7866284407663
497750842338402560,77.61288703605616,70.39107862466173,2.9362057943572624,19.686266929429404,-3.005372443577678,-40.492912,11.245597,11.533856,10.796515,1.0931542,6168.0044,4.1724,-0.2678,79.96824151796031,364.10688892660175,1046.3866380369782,4.9775084233840256e+17,TOI-4137.01,TOI-4137.01|TOI-4137b,TOI-4137b,Pl,True,TOI-4137.01,F-type,1110.8076982437663
502835190261902464,84.93199619329634,75.04399213462806,4.708449554350161,-6.701219187853898,26.58874741251496,-5.3149304,5.495653,6.4364963,4.5324793,1.026734,,,,15.792290685501259,178.07219730736395,669.2377651400064,5.0283519026190246e+17,HIP 26638,HIP 26638|Gaia DR3 502835190261902464|TIC 418343111|2MASS J05394368+7502379|AG+75  242|BD+74   252|CSV 100501|DO 29422|FK5  205|GC  6938|GCRV  3427|GEN# +1.00036384|GSC 04524-00073|HD  36384|HIC  26638|HR  1844|IRAS 05330+7500|IRC +80011|N30 1202|NSV  2337|PMC 90-93   148|PPM   6030|RAFGL 4426S|SAO   5593|SKY#  9214|SV* ZI   378|TYC 4524-73-1|UBV M  11080|[DS98]  63|Gaia DR1 502835185965114496|WEB  5253|Gaia DR2 502835190261902464,HD  36384,V*,True,HIP 26638,Unknown,692.7036091926752
522863309964987520,15.668950820681058,62.345451222893885,101.42379529598418,731.0879947758527,90.53173556175588,-6.2840915,8.671337,9.792029,7.6165996,1.0359348,3594.5579,4.6423,-0.1073,14.371014092784078,4.031108043567848,28.484106780797468,5.228633099649875e+17,,,,Star,False,,M-type,32.157739616051806
534988616816537728,21.921767121264168,72.29662042879961,22.22569335982428,71.628233181739,40.44953197736995,-59.98826,12.127464,13.30644,11.046349,1.0838809,,,,41.39768929773567,16.66003606115694,139.79784723086388,5.349886168165377e+17,PM J01276+7217b,NAME PM J01276+7217b|TOI-1695.01|TOI-1695b,NAME PM J01276+7217b,Pl,True,PM J01276+7217b,Unknown,146.74727790025563
541725187117160960,43.434443314709966,69.10134294049459,11.343504869425452,-46.467673113152856,-14.489847734195212,-24.96772,8.788493,9.126472,8.277758,0.9858769,5660.171,4.0903,-0.14,74.47903533637715,70.51618250003771,268.6110907514262,5.4172518711716096e+17,TOI-1736.02,TOI-1736.02|BD+68   202c|TOI-1736c,BD+68   202c,Pl,True,TOI-1736.02,G-type,287.52665402304336
545560867790611072,42.4366524710544,71.75308362260229,12.91420597983332,90.84790827576742,-33.01315728616289,-3.2860105,8.043712,8.333246,7.5877314,0.90149856,5905.5615,4.1689,-0.081,58.361806338459736,53.360156249299024,239.8564537103399,5.455608677906111e+17,Mulchatna,TOI-1573.01|TOI-1573b|HD  17156b|NAME Mulchatna,HD  17156b,Pl,True,Mulchatna,G-type,252.55598409172163
547375547309768064,48.78132631689635,73.86801083856723,3.7860104826724585,-6.910682414574708,-30.15282712612554,-35.067604,6.026782,6.822777,5.1507726,1.0722696,,,,157.72404795061715,180.04829298221463,827.555390844957,5.4737554730976806e+17,HIP 15135,HIP 15135|Gaia DR3 547375547309768064|TIC 289383510|AG+73   81|BD+73   172A|BDS  1579 A|CCDM J03151+7352A|CSI+73   172  1|DO 26774|GC  3826|GSC 04338-01941|HD  19615|HIC  15135|IDS 03044+7330 A|PPM   5227|SAO   4858|SKY#  4874|TYC 4338-1941-1|WDS J03151+7352A|2MASS J03150754+7352052|AKARI-IRC-V1 J0315075+735205|IRAS 03097+7340|Gaia DR2 547375547309768064,HD  19615,*,True,HIP 15135,Unknown,861.4767483944573
558504529130235136,29.70780813355558,73.15212922447932,4.297230956310002,-57.890154751548906,-57.45824407209815,-86.964745,6.474594,7.132327,5.685322,0.96547866,4953.957,2.3671,-0.0384,191.06631935870902,109.01681655805598,726.4134272989794,5.5850452913023514e+17,HIP 9242,HIP 9242|Gaia DR3 558504529130235136|TIC 137121812|2MASS J01585009+7309084|AG+72   54|AGKR  1709|BD+72   112|DO 25030|GC  2346|GSC 04322-01310|HD  11755|HIC   9242|IRAS 01545+7254|N30  400|PPM   4856|SAO   4536|SKY#  2906|TYC 4322-1310-1|uvby98 100011755|Gaia DR2 558504529130235136|Gaia DR1 558504524831036928|GEN# +1.00011755,HD  11755,PM*,True,HIP 9242,K-type,758.9910882520207
581100382135253760,132.30154349017843,3.485022545525026,32.977696569279644,-148.23814037425984,60.20908036764044,10.064948,7.295366,7.632604,6.7820992,1.0039229,5556.243,4.421,-0.2192,-66.44115546465581,73.01392498534328,6.012016838150765,5.811003821352538e+17,HD  75302b,HD  75302b,HD  75302b,Pl,True,HD  75302b,G-type,98.90199556988782
601159910928534144,126.89682301804164,11.667411233728537,6.300648587006672,-24.716443820214245,-13.953095385324016,10.923531,9.518891,9.771983,9.104217,1.0586965,6142.8364,4.1014,-0.2488,-304.36587335604827,405.42410045542744,104.68545338874742,6.011599109285341e+17,K2-330b,K2-330b|EPIC 211401787.01,EPIC 211401787.01,Pl,True,K2-330b,F-type,517.6546437974745
601314254872894080,129.1299193747396,10.14721518308137,10.99661259626832,0.3590350584789443,-16.70059880480167,-7.5680265,14.357374,15.613251,13.2478,1.0070996,3607.449,4.7787,-0.1596,-184.24883513591575,226.47640367994111,52.25381642850428,6.013142548728941e+17,K2-354,K2-354|Gaia DR3 601314254872894080|TIC 468989066|Gaia DR2 601314254872894080|UCAC4 501-050328|2MASS J08363117+1008501|EPIC 211314705,K2-354,*,True,K2-354,M-type,296.59679027947243
601321985813952000,128.92568723948528,10.206584685849096,1.8964229211067092,-9.04281616421791,-13.757474674300555,-4.167899,13.205524,13.547733,12.700128,0.8653598,5638.7524,4.4116,0.0516,-1063.500999039456,1316.8028012483794,304.75344099963473,6.01321985813952e+17,TOI-491b,TOI-491b|EPIC 211317649.01|TOI-491.01|HAT-P-43b,HAT-P-43b,Pl,True,TOI-491b,G-type,1719.8484387104052
601480723509077632,130.18003679221718,10.98295117766228,6.470860684256565,-65.13016264447343,1.5443933714256806,22.550472,11.720228,12.161187,11.112206,1.53801,,,,-319.24466746762863,378.0421489558578,96.02776463358006,6.014807235090776e+17,EPIC 211359660 b,EPIC 211359660 b|K2-182b|EPIC 211359660.01,K2-182b,Pl,True,EPIC 211359660 b,Unknown,504.0380498277903
604215144503584640,137.20147861493518,11.862277031818936,45.86253838132839,-458.50326835652936,192.57431795078145,22.931599,13.770329,15.535661,12.509058,1.1779996,,,,-51.0668222858395,47.285948059186,14.618596611298946,6.042151445035846e+17,,,,Star,False,,Unknown,71.11599390512256
604743013163971072,133.70948878498584,11.848271253180394,3.072829971132402,-8.161990738009544,0.1266548279152662,10.367881,13.551785,14.025674,12.92249,1.001863,4937.0513,4.5294,0.0,-717.8165888615729,750.9031423198843,217.9312497879134,6.047430131639711e+17,K2-268e,K2-268e|EPIC 211413752.05,K2-268e,Pl,True,K2-268e,K-type,1061.4189625331096
604922096120852864,132.7531291445454,11.88651239109607,1.0858336353173077,-10.843966615047998,-2.826519140625749,36.435135,14.606981,14.972596,14.077296,0.93340105,5475.723,4.3946,-0.3723,-1995.337657914149,2158.3076293594063,618.6914838909404,6.049220961208529e+17,NGC 2682 YBP 1514b,NAME NGC 2682 YBP 1514b,NAME NGC 2682 YBP 1514b,Pl,True,NGC 2682 YBP 1514b,G-type,3003.738228321589
606477252238780160,140.33907970233588,14.367867248047087,9.259962146553995,-33.296927779376944,-14.040288961491468,8.396215,9.313929,9.624159,8.837712,1.1072892,5817.8135,4.268,0.1476,-262.6716636609723,217.77173984786873,87.40264363423032,6.064772522387802e+17,LAMOST J092121.63+142204.5,LAMOST J092121.63+142204.5|Gaia DR3 606477252238780160|K2-312|TIC 55315929|BD+14  2079|GSC 00825-01097|HD  80653|TYC  825-1097-1|2MASS J09212142+1422046|Gaia DR1 606477247943024256|Gaia DR2 606477252238780160|EPIC 251279430,HD  80653,*,True,LAMOST J092121.63+142204.5,G-type,352.2217422037473
607158571490718208,135.88326439179704,14.25049791370382,8.010554452529314,-15.658606685557928,-10.645867686916713,,16.451405,18.07319,15.223667,0.9923033,3326.87,4.8936,-0.118,-283.3132967194951,274.7101965670719,100.22667104340694,6.071585714907182e+17,K2-332,K2-332|Gaia DR3 607158571490718208|TIC 330621494|2MASS J09033200+1415018|EPIC 211579112|Gaia DR2 607158571490718208,K2-332,*,True,K2-332,M-type,407.1578339961436
607937055787752576,137.37949847708393,16.355830338325553,2.743127748647158,-1.2153628162080057,-15.38494343225953,29.555994,12.635032,12.947904,12.161257,0.9475625,5737.1733,4.4353,-0.4678,-839.5192483153385,772.5321054355207,334.82263884429864,6.079370557877526e+17,TIC 321285788,TIC 321285788|K2-374|EPIC 211732116|2MASS J09093108+1621212|UCAC4 532-047824|Gaia DR3 607937055787752576,K2-374,*,True,TIC 321285788,G-type,1188.9931125550092
608395625151767680,131.2665571363966,13.54972901171613,3.554916181452993,-11.789633054100603,-22.76717981287653,16.983166,13.454036,14.0006275,12.764975,0.96823364,4727.921,4.5488,0.3492,-588.2923124824426,670.4278974378417,214.95538600792753,6.083956251517677e+17,LAMOST J084503.98+133259.3,LAMOST J084503.98+133259.3|Gaia DR3 608395625151767680|TIC 293375721|EPIC 211529065|K2-270|2MASS J08450398+1332594|Gaia DR2 608395625151767680|UCAC4 518-048472,K2-270,*,True,LAMOST J084503.98+133259.3,K-type,917.4787346651053
646125297938578944,142.74340481119165,26.53998971084732,4.474305978539132,-7.977712578532761,-39.401539181836014,-41.166607,9.590924,9.886953,9.130393,0.94819933,6011.8174,3.9685,-0.0912,-519.0578420097596,394.7950587773215,325.7125980320166,6.46125297938579e+17,TOI-1789,Gaia DR3 646125297938578944|TOI-1789|HD  82139|BD+27  1764|TIC 172518755|TYC 1962-303-1|2MASS J09305841+2632246|Gaia DR1 646125293643666176|Gaia DR2 646125297938578944,HD  82139,*,True,TOI-1789,F-type,728.9532758027658
650778499868023296,126.55350240116964,12.281847963793613,2.452778656244861,15.55741818042906,-21.63007493606373,-14.79723,13.187856,13.531894,12.678745,1.0446514,5704.0854,4.5556,-0.1716,-773.8324410996566,1043.7347842043428,282.8635861577626,6.507784998680233e+17,K2-115b,K2-115b|EPIC 211442297 b|EPIC 211442297.01,K2-115b,Pl,True,K2-115b,G-type,1329.7408601040918
651522834880015872,129.14053555044964,14.46188091343082,13.217501993641356,89.72214551306224,-12.271022762125265,-33.727615,10.134546,10.551556,9.549598,0.88111395,5295.9043,4.5952,-0.0688,-150.82598690900747,185.3232953922713,61.624989021620884,6.515228348800159e+17,EPIC 211594205 b,EPIC 211594205 b|EPIC 211594205.01|K2-184b|BD+14  1931b,BD+14  1931b,Pl,True,EPIC 211594205 b,G-type,246.76069665577228
651935220461650560,125.61740338196464,13.735309027504544,4.390696748199278,-25.38131831493755,-1.954711045569795,30.334816,9.21627,9.342972,8.979262,0.94404626,7346.182,4.1431,-0.1574,-420.23313841166186,586.598917123217,176.37621111653525,6.519352204616506e+17,TOI-5074,TOI-5074|LAMOST J082228.53+134407.1|Gaia DR3 651935220461650560|TIC 6893917|AG+13  837|BD+14  1881|GSC 00807-00903|PPM 125193|SAO  97771|TYC  807-903-1|YZ  13  3380|2MASS J08222820+1344071|Gaia DR2 651935220461650560|KELT-17|Gaia DR1 651935216163940224,BD+14  1881,Pe*,True,TOI-5074,F-type,742.8342668706596
659701895721176192,129.7768880269978,19.010003884252804,3.2567138510070084,-32.42894701628056,-5.351914535668001,-8.217874,13.134203,13.592823,12.516667,0.9475746,,,,-605.8062877559528,727.7079813361978,326.21794465515586,6.597018957211762e+17,EPIC 211919004 b,EPIC 211919004 b|K2-273b|EPIC 211919004.01,K2-273b,Pl,True,EPIC 211919004 b,Unknown,1001.4880487554941
659826037455527040,132.6211760661517,17.542383471753087,2.3729160267293268,12.090451017205782,-12.685884509024522,-57.946804,13.655427,14.037356,13.105305,0.96787333,5426.2695,4.5372,-0.3067,-887.4515801441529,964.3807360686368,414.28804863046554,6.59826037455527e+17,LAMOST J085029.06+173232.8,LAMOST J085029.06+173232.8|GALAH 160112002901262|Gaia DR3 659826037455527040|TIC 46259692|EPIC 211816003|K2-272|2MASS J08502906+1732328|Gaia DR2 659826037455527040|UCAC4 538-048305,K2-272,*,True,LAMOST J085029.06+173232.8,G-type,1374.494488326046
661004400386393984,130.3439043671192,18.93381888658177,5.396196452308119,-36.58363859530676,-12.452091663796445,33.04468,12.648937,13.186989,11.96533,0.9939663,4843.326,4.6328,0.2957,-370.1138586479967,435.7459494366689,196.119111921512,6.61004400386394e+17,K2-101b,K2-101b|EPIC 211913977 b|EPIC 211913977.01,K2-101b,Pl,True,K2-101b,K-type,604.4183210944684
