# Source: Gaia DR3, Downloaded: 2025-07-22T12:48:06.116544 UTC
source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,logg_gspphot,mh_gspphot
1694625251248104832,223.35888818314442,68.85946942506287,3.4240717494590003,-7.3731919936105665,-18.376843497828595,-10.859496,12.092901,12.444553,11.578503,0.98738056,5559.5537,4.4213,0.1685
1697129530714536320,227.53215922922072,72.71031170726539,1.9695393368361913,13.507608195127602,-7.779002098244403,-11.170319,11.661698,11.959469,11.201644,0.89659995,,,
1715055487257379968,205.66194534176432,78.06464406557446,9.627650854612892,-64.90016401217314,46.16437561336346,-8.968418,5.6533303,6.1405306,4.998262,0.9883716,4814.0024,2.6125,-0.2541
1716345832872291968,194.7395907678979,77.66172008723437,17.28263533343912,-36.03532849429709,31.407636135418446,-18.619379,14.140286,15.478212,13.003154,1.1410192,,,
1754430373040023168,309.96647104497725,11.250035914960753,29.40764876817505,71.91462356793883,89.31770957564326,-31.088703,6.276973,6.5319858,5.8423753,1.112964,6084.3276,4.1037,-0.2745
1779772947826839808,329.7490751817475,19.020154341441042,14.959059205380507,76.57413400459733,-33.47655868446501,-14.636807,6.248323,6.735262,5.5958195,1.1557292,4867.6865,2.9979,-0.2304
1827242816201846144,300.1821218062407,22.709741105168273,50.56684941372739,-3.208339784864691,-250.32333085817578,-2.531722,7.428371,7.893073,6.797157,0.95120126,4897.251,4.513,-0.1874
1841177820379504768,316.0969526925114,24.653657056204196,12.408515988435873,91.02333670655142,-121.07950482260078,-5.0209174,14.104577,15.43057,12.965675,1.0718448,3508.1318,4.7204,-0.1183
1847742385838236416,319.2250419457915,27.258284953991307,5.453588224054991,47.02932895232427,36.44575165753849,-34.504524,7.9698925,8.464991,7.311268,1.0196065,4774.1333,2.8342,-0.25
1889143121789650176,340.08321944988927,31.787515743054836,9.8795121338907,81.2768121095375,-18.07960605689925,-44.1388,7.9282355,8.219757,7.467463,1.1883141,5873.024,3.9876,-0.1515
1891930796082743680,331.0504110923714,26.418822176813286,0.7388034359981052,-4.905606395724657,-3.7027555308385978,,14.571572,14.453371,14.80871,1.0083315,,,
1958584565350234752,334.8828359067738,42.560315452542866,13.77800927291446,-67.43961728713911,10.240151153450993,2.464386,10.875941,11.489895,10.130833,1.139744,,,
