gaia_id,ra,dec,main_id,simbad_names,star_names,common_name,has_common_name,object_type
1716345832872291968,194.7395907678979,77.66172008723437,TOI-2257,Gaia DR3 1716345832872291968|TOI-2257|TIC 198485881|WISE J125857.58+773942.0|2MASS J12585767+7739416|UCAC4 839-012174|Gaia DR2 1716345832872291968,TOI-2257,TOI-2257,True,*
1754430373040023168,309.96647104497725,11.250035914960753,HD 196885b,HD 196885b,HD 196885b,HD 196885b,True,Pl
1779772947826839808,329.7490751817475,19.020154341441042,HD 208897b,HD 208897b,HD 208897b,HD 208897b,True,Pl
1827242816201846144,300.1821218062407,22.709741105168273,HD 189733b,HD 189733b,HD 189733b,HD 189733b,True,Pl
1841177820379504768,316.0969526925114,24.653657056204196,TOI-4479b,TOI-4479.01|TOI-4479b,TOI-4479.01,TOI-4479.01,True,Pl
1847742385838236416,319.2250419457915,27.258284953991307,HD 202696,Gaia DR3 1847742385838236416|TIC 25346878|AG+27 2398|BD+26  4118|GSC 02194-01229|HD 202696|HIC 105056|HIP 105056|PPM 112710|SAO  89576|TYC 2194-1229-1|YZ  27 12310|2MASS J21165395+2715292|Gaia DR1 1847742381540797824|Gaia DR2 1847742385838236416,TIC 25346878,TIC 25346878,True,PM*
1889143121789650176,340.08321944988927,31.787515743054836,HD 214823,Gaia DR3 1889143121789650176|TIC 115779095|SPOCS 3199|AG+31 2339|BD+31  4757|GSC 02736-00824|HD 214823|HIC 111928|HIP 111928|PPM  88068|SAO  72604|TYC 2736-824-1|uvby98 100214823|Gaia DR2 1889143121789650176|2MASS J22401985+3147155|Gaia DR1 1889143117493505152|GEN# +1.00214823,TIC 115779095,TIC 115779095,True,PM*
1891930796082743680,331.0504110923714,26.418822176813286,NAME V391 Peg b,NAME V391 Peg b|HS 2201+2610B,V391 Peg b,V391 Peg b,True,Pl
1958584565350234752,334.8828359067738,42.560315452542866,TOI-1410.02,TOI-1410.02,TOI-1410.02,TOI-1410.02,True,Pl?
1962153854973972096,335.51292167392506,45.45734141046544,HAT-P-40,Gaia DR3 1962153854973972096|TIC 199671901|SPOCS 3907|GSC 03607-01028|TYC 3607-1028-1|Gaia DR2 1962153854973972096|2MASS J22220308+4527265|HAT-P-40|Gaia DR1 1962153850672783872|NAME Taika,Taika,Taika,True,*
1997273733835247616,351.6533934266438,56.8871612635986,HD 220842b,HD 220842b,HD 220842b,HD 220842b,True,Pl
2010336687886382592,348.92593334698375,58.04322267642936,HD 240237b,HD 240237b,HD 240237b,HD 240237b,True,Pl
2016655237613545728,353.22951517386554,63.155618785937506,,,,,False,
2028419118720795392,298.01919397941856,28.099964005036682,HD 188015b,HD 188015b,HD 188015b,HD 188015b,True,Pl
2050231848829944320,291.1376216543287,36.57734395666409,Kepler-75b,KOI-889b|Kepler-75b|KOI-889.01,KOI-889b,KOI-889b,True,Pl
2050321081068398720,288.40083575207444,34.914669700582614,HD 180053b,HD 180053b,HD 180053b,HD 180053b,True,Pl
2051019683267537024,290.91932682358623,37.28716802212201,Kepler-1934b,Kepler-1934b|KOI-4053.01,Kepler-1934b,Kepler-1934b,True,Pl
2051103314872392192,290.47448647707466,37.76654938329445,Kepler-1172,LAMOST J192153.88+374559.7|Gaia DR3 2051103314872392192|TIC 122507231|Gaia DR2 2051103314872392192|KOI-2280|2MASS J19215388+3745597|Kepler-1172|KIC 2439243,LAMOST J192153.88+374559.7,LAMOST J192153.88+374559.7,True,Ro*
2051104586182508928,290.3286448558638,37.723118923669155,KOI-1944.02,KOI-1944.02,KOI-1944.02,KOI-1944.02,True,err
2051106987063242880,290.42097393854414,37.851651280661855,Kepler-19d,Kepler-19d,Kepler-19d,Kepler-19d,True,Pl
2051669906960994304,293.2541120213868,37.84615112407404,Kepler-754b,KOI-1031.01|Kepler-754b,KOI-1031.01,KOI-1031.01,True,Pl
2051815759742763264,292.5798559522023,37.376257342098995,Kepler-1624,LAMOST J193019.20+372234.7|AP J19301917+3722350|Gaia DR3 2051815759742763264|TIC 137683938|Gaia DR2 2051815759742763264|2MASS J19301917+3722350|KOI-4928|Kepler-1624|KIC 1873513,LAMOST J193019.20+372234.7,LAMOST J193019.20+372234.7,True,EB*
2051842839520109568,292.4211006149402,37.682791378910174,Kepler-356c,Kepler-356c|KOI-2053.01,Kepler-356c,Kepler-356c,True,Pl
2051897265347291520,292.25459035379424,37.97137522360586,KOI-3053.02,KOI-3053.02,KOI-3053.02,KOI-3053.02,True,Pl?
2051937638040407808,292.42279117737274,38.26628146455889,Kepler-1452b,KOI-3277.01|Kepler-1452b,KOI-3277.01,KOI-3277.01,True,Pl
2051947739803854336,292.58777362662363,38.52198180969812,Kepler-1786b,Kepler-1786b|KOI-2043.01,Kepler-1786b,Kepler-1786b,True,Pl
2052085934674652544,293.85062245431874,38.39773732032257,Kepler-1592,Gaia DR3 2052085934674652544|TIC 138364751|Gaia DR2 2052085934674652544|KOI-4347|2MASS J19352415+3823519|Kepler-1592|KIC 3244792,TIC 138364751,TIC 138364751,True,Ro*
2052117923590073600,294.43352262336856,38.35547324937682,Kepler-418b,KOI-1089.01|Kepler-418b,KOI-1089.01,KOI-1089.01,True,Pl
2052136752727511552,294.9589287818467,38.59159723658608,Kepler-1171,UCAC4 643-074415|Gaia DR3 2052136752727511552|TIC 138888759|GSC 03135-00627|TYC 3135-627-1|Gaia DR2 2052136752727511552|2MASS J19395014+3835296|KOI-2276|Kepler-1171|Gaia DR1 2052136748418405376|KIC 3458028,UCAC4 643-074415,UCAC4 643-074415,True,Er*
2052140601018026496,295.18288881923684,38.65420212278517,Kepler-576b,KOI-492.01|Kepler-576b,KOI-492.01,KOI-492.01,True,Pl
2052212996988534656,294.7119868537739,39.073730717588965,Kepler-577b,KOI-494.01|Kepler-577b,KOI-494.01,KOI-494.01,True,Pl
2052234368740841600,293.1845141294856,37.96983574304333,Kepler-766,Gaia DR3 2052234368740841600|TIC 138036952|Gaia DR2 2052234368740841600|2MASS J19324428+3758114|KOI-1094|Kepler-766|KIC 2721030,TIC 138036952,TIC 138036952,True,Ro*
2052280548230453760,293.804506949359,38.639049654957475,Kepler-415c,KOI-1194.01|Kepler-415c,KOI-1194.01,KOI-1194.01,True,Pl
2052356964290178048,293.3628164990139,39.21243943552196,Kepler-816,LAMOST J193327.07+391244.7|Gaia DR3 2052356964290178048|TIC 138105127|Gaia DR2 2052356964290178048|KOI-1320|2MASS J19332708+3912448|Kepler-816|KIC 4164994,LAMOST J193327.07+391244.7,LAMOST J193327.07+391244.7,True,Ro*
2052392835854583936,293.7439215036292,38.93922024895193,Kepler-786b,KOI-1199.01|Kepler-786b,KOI-1199.01,KOI-1199.01,True,Pl
2052397886736075264,293.5958034129302,39.02942488941827,Kepler-791,LAMOST J193422.99+390146.0|Gaia DR3 2052397886736075264|TIC 138303317|Gaia DR2 2052397886736075264|KOI-1210|2MASS J19342300+3901461|Kepler-791|KIC 3962357,LAMOST J193422.99+390146.0,LAMOST J193422.99+390146.0,True,Ro*
2052435819888356864,294.08269656030353,39.55606487042677,Kepler-1623,Gaia DR3 2052435819888356864|TIC 138572691|Gaia DR2 2052435819888356864|2MASS J19361984+3933219|KOI-4803|Kepler-1623|KIC 4473613,TIC 138572691,TIC 138572691,True,Ro*
2052452140764708480,293.5308108484358,39.315934141223735,Kepler-183b,Kepler-183b|KOI-551.02,Kepler-183b,Kepler-183b,True,Pl
2052456263933727744,293.82132830024534,39.391337741375544,Kepler-1469,Gaia DR3 2052456263933727744|TIC 138423341|Gaia DR2 2052456263933727744|2MASS J19351712+3923288|KOI-3324|Kepler-1469|KIC 4271474,TIC 138423341,TIC 138423341,True,Ro*
2052480728067657600,293.8853547519648,39.51983561870036,Kepler-1524b,Kepler-1524b|KOI-3878.01,Kepler-1524b,Kepler-1524b,True,Pl
2052549584977429504,291.13846220453837,37.859243785041194,Kepler-1733b,Kepler-1733b|KOI-1030.01,Kepler-1733b,Kepler-1733b,True,Pl
2052658367909936768,291.812998870791,38.08809463353536,KOI-2232.02,KOI-2232.02,KOI-2232.02,KOI-2232.02,True,Pl?
2052702348375966208,292.3264841688294,38.657543068030265,Kepler-371b,Kepler-371b|KOI-2194.01,Kepler-371b,Kepler-371b,True,Pl
2052724029370990208,292.08188147860375,38.91494421038683,Kepler-1406b,KOI-3002.01|Kepler-1406b,KOI-3002.01,KOI-3002.01,True,Pl
2052754540819149568,291.3993802741441,38.7877567935014,Kepler-1600c,Kepler-1600c|KOI-4385.01,Kepler-1600c,Kepler-1600c,True,Pl
2052767528800649984,291.67686812195,38.87491544514329,Kepler-1552b,KOI-4103.01|Kepler-1552b,KOI-4103.01,KOI-4103.01,True,Pl
2052826318309391104,290.548509374482,38.49524035400191,Kepler-975,AP J19221165+3829430|Gaia DR3 2052826318309391104|TIC 122450762|SPOCS 3330|Gaia DR2 2052826318309391104|2MASS J19221165+3829430|KOI-1845|Kepler-975|KIC 3338885,AP J19221165+3829430,AP J19221165+3829430,True,Ro*
2052874318864239616,290.00041495000244,38.53985416229223,Kepler-788b,KOI-1204.01|Kepler-788b,KOI-1204.01,KOI-1204.01,True,Pl
