# Source: SIMBAD, Downloaded: 2025-07-22T13:01:31.174815 UTC
M_number,name,ra,dec,type,distance_ly,apparent_magnitude
M102,M 102,226.62317083333332,55.76330833333333,SyG,48.597243999999996,9.890000343322754
M102,M 102,226.62317083333332,55.76330833333333,SyG,50.064946,9.890000343322754
M102,M 102,226.62317083333332,55.76330833333333,SyG,48.923399999999994,9.890000343322754
M102,M 102,226.62317083333332,55.76330833333333,SyG,42.1719708,9.890000343322754
M101,M 101,210.80242916666668,54.34875,GiP,21.852452,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,22.7656888,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,22.667842,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,23.196540875999997,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,22.667842,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,22.667842,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,23.483231999999997,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,21.852452,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,24.461699999999997,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,16.112106400000002,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,21.852452,7.860000133514404
M101,M 101,210.80242916666668,54.34875,GiP,17.612424,7.860000133514404
M108,M 108,167.87902916666664,55.67412222222222,AGN,27.6254132,
M108,M 108,167.87902916666664,55.67412222222222,AGN,28.538649999999997,
M108,M 108,167.87902916666664,55.67412222222222,AGN,33.920224,
M108,M 108,167.87902916666664,55.67412222222222,AGN,32.289443999999996,
M108,M 108,167.87902916666664,55.67412222222222,AGN,31.147898,
M108,M 108,167.87902916666664,55.67412222222222,AGN,28.701728,
M108,M 108,167.87902916666664,55.67412222222222,AGN,32.6156,
M108,M 108,167.87902916666664,55.67412222222222,AGN,38.812564,
M108,M 108,167.87902916666664,55.67412222222222,AGN,27.1361792,
M108,M 108,167.87902916666664,55.67412222222222,AGN,32.6156,
M108,M 108,167.87902916666664,55.67412222222222,AGN,39.4322604,
M108,M 108,167.87902916666664,55.67412222222222,AGN,49.249556,
M 97,M  97,168.69880122825,55.01902300891,PN,2.26026108,15.777000427246094
M 97,M  97,168.69880122825,55.01902300891,PN,2641.57984428,15.777000427246094
M 97,M  97,168.69880122825,55.01902300891,PN,2868.314036956,15.777000427246094
M 97,M  97,168.69880122825,55.01902300891,PN,2025.4287599999998,15.777000427246094
M109,M 109,179.39984644985,53.37472391176001,GiG,78.27744,
M109,M 109,179.39984644985,53.37472391176001,GiG,63.8939604,
M109,M 109,179.39984644985,53.37472391176001,GiG,85.3876408,
M109,M 109,179.39984644985,53.37472391176001,GiG,94.58524,
M109,M 109,179.39984644985,53.37472391176001,GiG,77.29897199999999,
M109,M 109,179.39984644985,53.37472391176001,GiG,87.3771924,
M109,M 109,179.39984644985,53.37472391176001,GiG,67.514292,
M109,M 109,179.39984644985,53.37472391176001,GiG,71.75431999999999,
M109,M 109,179.39984644985,53.37472391176001,GiG,59.9148572,
M 51,M  51,202.469575,47.19525833333333,Sy2,26.09248,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,24.853087199999997,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,27.397104,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,24.787855999999998,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,22.080761199999998,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,27.397104,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,24.5595468,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,20.221671999999998,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,25.114012,8.359999656677246
M 51,M  51,202.469575,47.19525833333333,Sy2,26.09248,8.359999656677246
